pruid	prname	prnameFR	date	numconf	numprob	numdeaths	numtotal	numtested	numrecover	percentrecover	ratetested	numtoday	percentoday	ratetotal	ratedeaths	deathstoday	percentdeath	testedtoday	recoveredtoday	percentactive
35	Ontario	Ontario	24-05-2020	25500	0	2073	25500	591377	19477	76.38	40598	460	1.84	175.06	14.231	25	8.13	11011	331	15.49
24	Quebec	Qu??bec	24-05-2020	47411	0	3984	47411	380061	14331	30.23	44792	573	1.22	558.76	46.954	44	8.4	9241	287	61.37
10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	24-05-2020	260	0	3	260	11285	254	97.69	21638	0	0	49.85	0.575	0	1.15	78	0	1.15
13	New Brunswick	Nouveau-Brunswick	24-05-2020	121	0	0	121	20764	120	99.17	26729	0	0	15.58	0	0	0	201	0	0.83
12	Nova Scotia	Nouvelle-??cosse	24-05-2020	1050	0	58	1050	39330	973	92.67	40488	1	0.1	108.09	5.971	0	5.52	358	4	1.81
11	Prince Edward Island	??le-du-Prince-??douard	24-05-2020	27	0	0	27	5482	27	100	34929	0	0	17.2	0	0	0	102	0	0
60	Yukon	Yukon	24-05-2020	11	0	0	11	1145	11	100	28027	0	0	26.93	0	0	0	0	0	0
61	Northwest Territories	Territoires du Nord-Ouest	24-05-2020	5	0	0	5	1906	5	100	42520	0	0	11.15	0	0	0	0	0	0
62	Nunavut	Nunavut	24-05-2020	0	0	0	0	707	0	N/A	18231	0	0	0	0	0		9	0	
99	Repatriated travellers	Voyageurs rapatri??s	24-05-2020	13	0		13	76	13	100		0	0					0	0	
1	Canada	Canada	24-05-2020	84688	11	6424	84699	1459288	43998	51.95	38822	1078	1.29	225.33	17.09	69	7.58	27301	680	40.47
59	British Columbia	Colombie-Britannique	25-05-2020	2530	0	161	2530	114805	2102	83.08	22638	13	0.52	49.89	3.175	4	6.36	1646	45	10.55
48	Alberta	Alberta	25-05-2020	6879	0	138	6879	218740	5979	86.92	50040	19	0.28	157.37	3.157	3	2.01	2572	55	11.08
47	Saskatchewan	Saskatchewan	25-05-2020	634	0	7	634	40304	546	86.12	34317	2	0.32	53.98	0.596	0	1.1	379	8	12.78
46	Manitoba	Manitoba	25-05-2020	281	11	7	292	38072	268	91.78	27801	0	0	21.32	0.511	0	2.4	169	0	5.82
35	Ontario	Ontario	25-05-2020	25904	0	2102	25904	599280	19698	76.04	41141	404	1.58	177.83	14.43	29	8.11	7903	221	15.84
24	Quebec	Qu??bec	25-05-2020	47984	0	4069	47984	389618	14654	30.54	45919	573	1.21	565.52	47.955	85	8.48	9557	323	60.98
10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	25-05-2020	260	0	3	260	11333	254	97.69	21730	0	0	49.85	0.575	0	1.15	48	0	1.15
13	New Brunswick	Nouveau-Brunswick	25-05-2020	121	0	0	121	21032	120	99.17	27074	0	0	15.58	0	0	0	268	0	0.83
12	Nova Scotia	Nouvelle-??cosse	25-05-2020	1051	0	58	1051	39836	974	92.67	41009	1	0.1	108.19	5.971	0	5.52	506	1	1.81
11	Prince Edward Island	??le-du-Prince-??douard	25-05-2020	27	0	0	27	5553	27	100	35381	0	0	17.2	0	0	0	71	0	0
60	Yukon	Yukon	25-05-2020	11	0	0	11	1154	11	100	28247	0	0	26.93	0	0	0	9	0	0
61	Northwest Territories	Territoires du Nord-Ouest	25-05-2020	5	0	0	5	1955	5	100	43613	0	0	11.15	0	0	0	49	0	0
62	Nunavut	Nunavut	25-05-2020	0	0	0	0	710	0	N/A	18308	0	0	0	0	0		3	0	
99	Repatriated travellers	Voyageurs rapatri??s	25-05-2020	13	0		13	76	13	100		0	0					0	0	
1	Canada	Canada	25-05-2020	85700	11	6545	85711	1482468	44651	52.09	39439	1012	1.19	228.02	17.412	121	7.64	23180	653	40.27
59	British Columbia	Colombie-Britannique	26-05-2020	2541	0	161	2541	115269	2122	83.51	22730	11	0.43	50.11	3.175	0	6.34	464	20	10.15
48	Alberta	Alberta	26-05-2020	6901	0	139	6901	221173	6048	87.64	50596	22	0.32	157.87	3.18	1	2.01	2433	69	10.35
47	Saskatchewan	Saskatchewan	26-05-2020	634	0	8	634	40509	549	86.59	34492	0	0	53.98	0.681	1	1.26	205	3	12.15
46	Manitoba	Manitoba	26-05-2020	281	11	7	292	38775	269	92.12	28314	0	0	21.32	0.511	0	2.4	703	1	5.48
35	Ontario	Ontario	26-05-2020	26191	0	2123	26191	608832	19958	76.2	41797	287	1.11	179.8	14.574	21	8.11	9552	260	15.69
24	Quebec	Qu??bec	26-05-2020	48598	0	4139	48598	395775	14999	30.86	46644	614	1.28	572.75	48.78	70	8.52	6157	345	60.62
10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	26-05-2020	260	0	3	260	11474	255	98.08	22000	0	0	49.85	0.575	0	1.15	141	1	0.77
13	New Brunswick	Nouveau-Brunswick	26-05-2020	122	0	0	122	21320	120	98.36	27445	1	0.83	15.7	0	0	0	288	0	1.64
12	Nova Scotia	Nouvelle-??cosse	26-05-2020	1052	0	59	1052	40334	976	92.78	41522	1	0.1	108.3	6.074	1	5.61	498	2	1.62
11	Prince Edward Island	??le-du-Prince-??douard	26-05-2020	27	0	0	27	5631	27	100	35878	0	0	17.2	0	0	0	78	0	0
60	Yukon	Yukon	26-05-2020	11	0	0	11	1154	11	100	28247	0	0	26.93	0	0	0	0	0	0
61	Northwest Territories	Territoires du Nord-Ouest	26-05-2020	5	0	0	5	1955	5	100	43613	0	0	11.15	0	0	0	0	0	0
62	Nunavut	Nunavut	26-05-2020	0	0	0	0	713	0	N/A	18386	0	0	0	0	0		3	0	
99	Repatriated travellers	Voyageurs rapatri??s	26-05-2020	13	0		13	76	13	100		0	0					0	0	
